order_id,date,customer_id,product,category,sales,price,cost,payment_status
SALE-A0945B48,2026-04-20T13:25:00,CUST-LIVE-1132,IFB 25L Convection Microwave,Kitchen,1,14999.0,11999.2,Completed
SALE-9CD3D8A5,2026-04-20T09:26:00,CUST-LIVE-1091,OnePlus 12R 5G 256GB,Smartphone,1,39999.0,31999.2,Completed
SALE-810D9408,2026-04-20T16:01:00,CUST-LIVE-1390,Samsung 324L Double Door Frost-Free,Refrigerator,2,34999.0,27999.2,Completed
SALE-5FDA010E,2026-04-20T13:06:00,CUST-LIVE-1412,Acer Aspire Lite Ryzen 3,Laptop,1,32999.0,26399.2,Completed
SALE-3EED35E6,2026-04-20T08:41:00,CUST-LIVE-1490,"Mi 40"" Full HD Android TV",Television,1,21999.0,17599.2,Completed
SALE-B5968E1E,2026-04-19T06:15:00,CUST-LIVE-1081,Whirlpool 292L Frost-Free Fridge,Refrigerator,1,29999.0,23999.2,Completed
SALE-6B8E6F99,2026-04-19T12:34:00,CUST-LIVE-1434,"OnePlus 50"" 4K Smart TV",Television,1,37999.0,30399.2,Completed
SALE-E3668314,2026-04-19T13:17:00,CUST-LIVE-1478,Havells Flomax 1200mm Fan With Light,Lighting,2,5999.0,4799.2,Completed
SALE-D596A31D,2026-04-18T10:28:00,CUST-LIVE-1030,IFB 25L Convection Microwave,Kitchen,1,14999.0,11999.2,Completed
SALE-26B9DBCF,2026-04-18T12:02:00,CUST-LIVE-1250,JBL Flip 6 Bluetooth Speaker,Audio,1,9999.0,7999.2,Completed
SALE-EBEEE7A1,2026-04-18T13:39:00,CUST-LIVE-1155,Blue Star 2 Ton 5★ Inverter AC,Air Conditioner,1,62999.0,50399.2,Completed
SALE-FBCEDB07,2026-04-18T13:18:00,CUST-LIVE-1054,boAt Aavante Bar 1500 Soundbar,Audio,1,4999.0,3999.2,Completed
SALE-1C8E1B54,2026-04-18T14:00:00,CUST-LIVE-1237,Apple iPhone 15 128GB,Smartphone,1,79900.0,63920.0,Completed
SALE-19AB64BA,2026-04-18T13:52:00,CUST-LIVE-1355,"Mi 40"" Full HD Android TV",Television,1,21999.0,17599.2,Completed
SALE-20362B1F,2026-04-18T12:19:00,CUST-LIVE-1023,Godrej 190L Direct Cool Fridge,Refrigerator,2,14999.0,11999.2,Completed
SALE-AE878D40,2026-04-18T12:10:00,CUST-LIVE-1135,LG 1.5 Ton Dual Inverter AC,Air Conditioner,2,38999.0,31199.2,Completed
SALE-635BBFF1,2026-04-18T16:09:00,CUST-LIVE-1126,Havells OTG 35L Bake & Broil,Kitchen,2,7999.0,6399.2,Completed
SALE-EC62B8D8,2026-04-17T06:43:00,CUST-LIVE-1246,boAt Aavante Bar 1500 Soundbar,Audio,1,4999.0,3999.2,Completed
SALE-3C1D7C90,2026-04-17T08:18:00,CUST-LIVE-1316,Sony WH-1000XM5 Wireless Headphones,Audio,1,24999.0,19999.2,Completed
SALE-B56D1937,2026-04-17T12:08:00,CUST-LIVE-1164,Apple iPhone 15 128GB,Smartphone,1,79900.0,63920.0,Completed
SALE-5C321771,2026-04-17T06:15:00,CUST-LIVE-1325,OPPO Reno 11 5G 256GB,Smartphone,1,31999.0,25599.2,Completed
SALE-33A63D3C,2026-04-17T08:09:00,CUST-LIVE-1270,Samsung 8 kg Fully Automatic Top Load,Washing Machine,1,28999.0,23199.2,Completed
SALE-A6FE78F0,2026-04-16T08:17:00,CUST-LIVE-1260,Whirlpool 292L Frost-Free Fridge,Refrigerator,2,29999.0,23999.2,Completed
SALE-3694244C,2026-04-16T09:21:00,CUST-LIVE-1322,Philips XXL Air Fryer HD9860,Kitchen,2,12999.0,10399.2,Completed
SALE-C3CEB8BF,2026-04-16T14:30:00,CUST-LIVE-1006,Redmi Note 13 Pro+ 5G 256GB,Smartphone,2,28999.0,23199.2,Completed
SALE-386E87F8,2026-04-16T10:35:00,CUST-LIVE-1416,IFB 8 kg Senator Smart WW,Washing Machine,1,49999.0,39999.2,Completed
SALE-722F38F7,2026-04-16T07:53:00,CUST-LIVE-1461,JBL Flip 6 Bluetooth Speaker,Audio,1,9999.0,7999.2,Completed
SALE-29E9581B,2026-04-16T07:11:00,CUST-LIVE-1474,Panasonic 1.5 Ton Cube AC,Air Conditioner,1,41999.0,33599.2,Completed
SALE-F7DE7D19,2026-04-16T13:03:00,CUST-LIVE-1227,Hitachi 1 Ton 5★ Inverter AC,Air Conditioner,1,35999.0,28799.2,Completed
SALE-338E1B0B,2026-04-15T11:14:00,CUST-LIVE-1297,Panasonic 1.5 Ton Cube AC,Air Conditioner,2,41999.0,33599.2,Completed
SALE-DCB116D8,2026-04-15T05:32:00,CUST-LIVE-1248,LG 1.5 Ton Dual Inverter AC,Air Conditioner,1,38999.0,31199.2,Completed
